1300.0000000000005,58.862706437824485,47.09016515025961,47.09016515025961
1360.2826553108941,55.41882868901855,52.899045128160054,54.52482180818246
1423.360694107426,52.17644174256392,59.42448845830132,63.1332717506439
1489.3637418812355,49.12375698504453,66.75488791859073,73.10083499149589
1558.4274350230562,148.43098695247133,91.65910212587029,92.20265417126781
1630.6936995557753,136.82127027025615,99.81157651074756,104.29675966248323
1706.3110427926708,126.14572003749286,109.17747499933678,118.71379160098851
1785.4348585202415,116.32746825294112,119.89279664061887,135.75107771591095
1868.2277463327239,107.29607978539754,132.11121823139507,155.76454255556058
1954.8598457745877,98.98700734709169,146.0062156111518,179.176002253685
2045.5091859776132,98.39364868205818,161.6614518574809,201.9632272316105
2140.362051511117,105.50221194414289,178.9902935129794,222.68112366059327
2239.6133651970854,113.16249342038242,198.1980745762574,245.5245817865458
2343.467088676967,121.42032578675772,219.48998695882062,270.711704522672
2452.1366415532234,130.32557051703162,243.09372936688013,298.48297757834723
2565.8453399670425,139.93248722185785,269.2619825934786,329.1035668676952
2684.826855513421,150.30013783316363,298.2751574826109,362.8658517701564
2809.325695436764,161.4928289826491,330.44444563147607,400.0922184603444
2939.5977050937227,173.5805962487829,366.115206214132,441.1381400116061
3075.9105937159216,186.11991545302294,399.6779338858014,486.16085387053835
3218.5444845529205,199.15531133800118,431.0743201439185,535.5688749967927
3367.7924905260597,213.14073602837294,464.94040804428636,589.999025747362
3523.9613165760547,228.14805826807248,501.4706951737886,649.9618801720767
3687.3718899422674,244.2547629540103,540.8750115547848,716.0199303275294
3858.360019668777,261.5444017915369,583.3797293204193,788.7928667716551
4037.2770866926426,280.1070808611954,629.2290678959338,868.9633962610716
4224.490765932382,300.0399881664184,678.6865022307675,957.2836513174195
4420.38578186065,321.4479644899492,732.0362822225992,1054.5822518935481
4625.364699113784,343.0794086291901,783.4188798090174,1138.4976817992758
4839.848749762899,365.24895616594983,834.1499807736166,1213.0698515962347
5064.278698946604,388.8681693643265,888.1663110113916,1292.569956723743
5299.115750644213,414.03293692372563,945.680619979777,1377.3284564789162
5544.842495450832,440.84555950725985,1006.9194350309258,1467.6984978535827
5801.963902301953,469.41518284594656,1072.1239537080946,1564.0575302229458
6071.00835618558,501.2139236776079,1141.82993453023,1666.5908500100381
6352.528743974412,539.3319472694039,1216.9314040622062,1775.2201336277571
6647.103590609445,576.0634323261883,1293.892521201177,1877.977875550164
6955.338247969838,610.7939636618377,1372.3824141941366,1972.7572213631206
7277.866138872177,647.8511178894287,1455.6820712737804,2072.380127646084
7615.3500587555955,687.4032658209618,1544.0903513201274,2177.099270332461
7968.483537727708,729.6315678015308,1637.9250304966192,2287.1809426855853
8337.9922657703,774.7309722997306,1737.5240285596167,2402.9058252903715
8724.635584033627,822.9112936223569,1843.246717019116,2524.5698024814737
9129.20804528397,874.3983750708596,1955.4753148016364,2652.484828229931
9552.541046711114,929.4353443633511,2074.6163774708443,2786.979844722833
9995.504538451141,988.2839686929956,2201.1023864961976,2928.401757099028
10459.008811335696,1060.460302186834,2326.1163027124962,3146.909107265874
10944.006367541337,1138.0834736368795,2458.269376914945,3382.4957630820836
11451.493877983416,1221.468034588663,2598.0791594668885,3635.734844030525
11982.514230476721,1311.0471095151404,2746.0017489738284,3907.9504038509613
12538.158672871867,1407.2867588277877,2902.5214404957082,4200.56592757066
13119.569055571872,1507.214119176451,3066.7777869476804,4512.403389054278
13727.94017803689,1599.6613293007051,3234.6781827833024,4836.461855827394
14364.522244099307,1697.781263924168,3411.7708815332558,5184.707222516329
15030.623431135216,1801.9221560657384,3598.559152173021,5558.940071235476
15727.612578371327,1912.453624755115,3795.573817334731,5961.095050476923
16456.921999852257,2019.2112908901709,4006.6182200943895,6225.502835855383
17220.050427848702,2125.3059141646836,4231.4867132733825,6397.3652008170075
18018.566092754994,2237.1632219367757,4468.976018720723,6574.130764201212
18854.109945805823,2355.1049910106526,4719.7944962906495,6755.938609921212
19728.399031234076,2479.4713607379767,4984.690264191543,6942.931771072497
20643.23001479994,2610.6218982215432,5264.453430556158,7135.257342047446
21600.482875942744,2748.936726054234,5559.918450268504,7333.06659383303
22602.124771142193,2894.8177162957318,5871.966614077811,7536.51509258167
23650.214076428765,3041.4394504859147,5340.505380736318,7853.326367997129
24746.90461735048,3191.297158559355,4443.369000299958,8254.800063397994
25894.450095088374,3329.6082999223645,3754.6530727695836,8696.495472005601
27095.208717817077,3457.88661838197,3183.7558913560406,9154.398010833418
28351.648046827013,3591.3841152620416,2730.2051525345014,9636.708397006967
29666.350067367475,3730.340449321137,2372.5810342170826,10144.780744096357
31042.01649463161,3875.01004661562,2093.5870113390733,10680.054372110244
32481.474325786152,4025.663536865007,1879.2802190233454,11244.061066440268
33987.68164945612,4182.589386935941,1718.4486365903597,11838.433274297578
35563.73372460273,4332.996194058526,1741.9582317960562,12333.835984509937
37212.86934128625,4465.45188808282,2088.73705854986,12604.234362973375
38938.477476386266,4603.962535156925,2533.3697723939745,12882.459004859125
40744.10425795553,4748.873638272271,3106.468800366889,13169.025883496295
42633.46025251967,4900.559895521937,3848.4669856455494,13464.525507890052
44610.4280902991,5059.428850224288,4812.789416580813,13769.636797125264
46679.07044402129,5225.925097495265,6070.052047743051,14085.143690525543
48843.63837772112,5400.535137822088,7713.619821306971,14411.955041413934
51108.58008268586,5588.475809175128,9849.585508566062,14741.325292597556
53478.55001849638,5813.214770621723,10987.999265431983,15140.503246783956
